timestamp_ms,ax,ay,az,road_label
0,-0.0026,-0.0011,9.8028,smooth
20,-0.0019,-0.015,9.8451,smooth
40,-0.004,-0.0022,9.8266,smooth
60,0.0035,0.0116,9.8158,smooth
80,0.0017,-0.0074,9.8428,smooth
100,0.0037,0.0131,9.7593,smooth
120,-0.0016,0.0053,9.8121,smooth
140,-0.0047,0.0049,9.7373,smooth
160,-0.0036,0.0038,9.8537,smooth
180,0.0117,-0.0111,9.8224,smooth
200,-0.0227,-0.0262,9.8384,smooth
220,-0.0137,0.0088,9.7797,smooth
240,-0.0183,0.0085,9.8432,smooth
260,-0.0013,-0.0029,9.7599,smooth
280,0.0123,0.0064,9.8157,smooth
300,0.0097,0.0048,9.8275,smooth
320,-0.0108,-0.0047,9.7787,smooth
340,-0.0038,0.0234,9.835,smooth
360,-0.0165,0.0077,9.769,smooth
380,0.0076,0.0084,9.8811,smooth
400,-0.0014,-0.0142,9.8813,smooth
420,0.0143,-0.0144,9.7834,smooth
440,0.0038,-0.0032,9.8117,smooth
460,0.0087,0.0232,9.8462,smooth
480,-0.0091,-0.0056,9.841,smooth
500,0.0143,-0.0057,9.7684,smooth
520,0.0112,-0.0072,9.8065,smooth
540,-0.0276,-0.0108,9.7953,smooth
560,0.0062,0.0119,9.7816,smooth
580,0.0039,0.0017,9.8091,smooth
600,0.0134,0.0027,9.8642,smooth
620,0.0136,0.0038,9.7595,smooth
640,-0.0004,0.0195,9.8713,smooth
660,0.0239,0.0012,9.7921,smooth
680,-0.0169,-0.0015,9.7842,smooth
700,0.0122,0.0069,9.8812,smooth
720,0.0107,0.0056,9.6912,smooth
740,-0.0094,-0.0,9.7825,smooth
760,-0.0158,-0.0043,9.8962,smooth
780,-0.0067,-0.0036,9.8781,smooth
800,-0.0186,0.0022,9.8149,smooth
820,0.0133,0.0,9.7495,smooth
840,0.0042,0.0137,9.9242,smooth
860,-0.0018,0.0032,9.7448,smooth
880,-0.0252,0.0099,9.8973,smooth
900,0.023,0.0071,9.8396,smooth
920,-0.0078,-0.0125,9.8126,smooth
940,-0.0029,0.0202,9.8198,smooth
960,0.0048,-0.0157,9.7794,smooth
980,0.0039,0.0082,9.7902,smooth
1000,-0.0007,-0.0112,9.8824,smooth
1020,0.0078,0.0049,9.8329,smooth
1040,0.017,0.0009,9.775,smooth
1060,0.0191,0.0061,9.845,smooth
1080,0.0323,0.0024,9.8243,smooth
1100,0.0017,0.0148,9.7952,smooth
1120,0.0078,0.012,9.8159,smooth
1140,-0.0259,0.003,9.7844,smooth
1160,-0.0091,0.0087,9.8215,smooth
1180,-0.0149,0.0052,9.8404,smooth
1200,-0.0222,0.0045,9.8002,smooth
1220,-0.0112,0.0052,9.8077,smooth
1240,-0.0087,0.004,9.8344,smooth
1260,-0.0107,0.0038,9.8608,smooth
1280,0.034,-0.0186,9.8101,smooth
1300,-0.0046,-0.001,9.8448,smooth
1320,-0.0001,0.0224,9.9051,smooth
1340,0.0053,-0.0049,9.7879,smooth
1360,0.0009,-0.0028,9.7755,smooth
1380,-0.0316,0.02,9.8201,smooth
1400,0.0261,-0.0101,9.8017,smooth
1420,0.0475,-0.0087,9.8246,smooth
1440,-0.0082,0.0047,9.7352,smooth
1460,0.0194,-0.0026,9.8447,smooth
1480,-0.0065,0.0124,9.7299,smooth
1500,-0.0294,-0.0004,9.8333,smooth
1520,0.0319,0.0056,9.8799,smooth
1540,-0.0186,-0.0084,9.8255,smooth
1560,0.0075,0.0058,9.8123,smooth
1580,-0.0173,-0.0078,9.7861,smooth
1600,0.0097,-0.0231,9.7522,smooth
1620,0.0067,0.0152,9.7933,smooth
1640,0.015,-0.004,9.8136,smooth
1660,-0.0101,0.0153,9.7728,smooth
1680,0.0073,0.0333,9.8597,smooth
1700,0.0093,0.0031,9.8084,smooth
1720,0.0347,0.0151,9.7989,smooth
1740,-0.006,0.0043,9.74,smooth
1760,-0.0202,-0.0226,9.8492,smooth
1780,-0.0011,-0.001,9.7147,smooth
1800,-0.0115,-0.0122,9.8273,smooth
1820,0.0049,0.0037,9.7088,smooth
1840,0.0119,-0.0019,9.8596,smooth
1860,-0.002,-0.0066,9.8775,smooth
1880,-0.0088,-0.0217,9.784,smooth
1900,0.0037,-0.0036,9.8178,smooth
1920,0.0056,0.0172,9.7743,smooth
1940,-0.0076,-0.0059,9.8119,smooth
1960,-0.019,-0.0013,9.8065,smooth
1980,0.0277,0.0094,9.8131,smooth
2000,-0.0107,0.0067,9.8617,smooth
2020,0.0047,0.0042,9.753,smooth
2040,0.03,0.0057,9.7717,smooth
2060,0.0083,-0.0041,9.7149,smooth
2080,0.007,0.0039,9.8101,smooth
2100,-0.0174,0.0077,9.708,smooth
2120,0.0285,0.018,9.8751,smooth
2140,0.0115,-0.0192,9.7072,smooth
2160,0.0038,-0.0114,9.8907,smooth
2180,0.0097,-0.0189,9.9105,smooth
2200,-0.011,0.0011,9.8247,smooth
2220,0.0206,-0.0142,9.7867,smooth
2240,0.0272,-0.0083,9.8259,smooth
2260,0.003,-0.0069,9.8205,smooth
2280,0.0015,-0.0094,9.8424,smooth
2300,0.0119,-0.0017,9.8981,smooth
2320,-0.0118,0.0123,9.7782,smooth
2340,0.0069,-0.0018,9.8027,smooth
2360,-0.0017,0.0076,9.8408,smooth
2380,0.0124,0.0067,9.8008,smooth
2400,-0.0129,-0.0094,9.8042,smooth
2420,-0.0148,0.0087,9.773,smooth
2440,0.0236,0.0228,9.8077,smooth
2460,-0.0232,-0.0038,9.8112,smooth
2480,-0.0223,-0.0025,9.8062,smooth
2500,-0.0069,-0.0077,9.8243,smooth
2520,0.0268,-0.0016,9.7721,smooth
2540,-0.0056,0.0095,9.7685,smooth
2560,0.0072,0.0073,9.7758,smooth
2580,0.021,-0.0055,9.8475,smooth
2600,-0.0119,-0.004,9.8666,smooth
2620,0.0123,0.0,9.8698,smooth
2640,0.0084,-0.0063,9.7504,smooth
2660,-0.0097,0.0025,9.7638,smooth
2680,0.0054,0.0017,9.7039,smooth
2700,0.0156,0.0061,9.7808,smooth
2720,-0.0101,0.007,9.7797,smooth
2740,-0.005,-0.0063,9.7342,smooth
2760,0.0032,0.0004,9.8135,smooth
2780,0.0034,-0.0031,9.8667,smooth
2800,0.0108,0.0053,9.7495,smooth
2820,-0.0112,0.0003,9.8825,smooth
2840,-0.0013,0.0001,9.8071,smooth
2860,0.0124,0.0065,9.7243,smooth
2880,0.0337,-0.0032,9.8665,smooth
2900,0.0001,0.0194,9.8082,smooth
2920,0.0073,-0.0147,9.7234,smooth
2940,-0.0303,-0.0138,9.6809,smooth
2960,-0.013,-0.0023,9.8635,smooth
2980,0.0092,-0.011,9.7518,smooth
3000,-0.0149,-0.0076,9.8759,smooth
3020,0.0004,0.0142,9.8161,smooth
3040,-0.0181,-0.0056,9.816,smooth
3060,0.0109,0.0038,9.7814,smooth
3080,0.013,-0.0053,9.804,smooth
3100,0.0027,0.0153,9.8032,smooth
3120,-0.0053,-0.0105,9.8051,smooth
3140,-0.0088,0.0034,9.8443,smooth
3160,0.0156,-0.0133,9.7149,smooth
3180,0.0159,-0.0133,9.7711,smooth
3200,0.0011,-0.01,9.806,smooth
3220,0.0225,-0.0197,9.8771,smooth
3240,0.0121,-0.013,9.7376,smooth
3260,0.0019,0.0069,9.7906,smooth
3280,0.0014,-0.0078,9.7988,smooth
3300,-0.0074,0.0034,9.8746,smooth
3320,0.0016,-0.0017,9.7844,smooth
3340,-0.0152,0.008,9.8019,smooth
3360,0.0036,0.0073,9.8807,smooth
3380,0.0139,0.003,9.8519,smooth
3400,0.013,0.0007,9.8206,smooth
3420,0.0004,-0.0189,9.7613,smooth
3440,0.0062,0.0124,9.8097,smooth
3460,0.0139,-0.0,9.8176,smooth
3480,-0.0212,-0.0097,9.7588,smooth
3500,0.0095,-0.0021,9.7417,smooth
3520,0.0011,0.0104,9.8385,smooth
3540,-0.0097,-0.0027,9.863,smooth
3560,-0.0243,0.0068,9.7834,smooth
3580,-0.0001,-0.0049,9.8694,smooth
3600,-0.0352,0.0018,9.8645,smooth
3620,-0.0086,0.0139,9.8172,smooth
3640,-0.0039,-0.0009,9.8585,smooth
3660,-0.0077,-0.0131,9.7906,smooth
3680,0.0154,0.008,9.879,smooth
3700,0.0312,0.0198,9.7553,smooth
